Security Description,ISIN,CUSIP,Market Value %,GICS Sector,Country Name,MSCI ESG Rating
ANDES TECHNOLOGY CORP,TW0006533003,SBWT3K589,0.0%,Information Technology,Taiwan (Republic of China),
ANEKA TAMBANG,ID1000106602,S60538592,0.0%,Materials,Indonesia,BBB
ANSELL LTD,AU000000ANN9,S62866116,0.0%,Health Care,Australia,AA
AP MEMORY TECHNOLOGY CORP,TW0006531007,SBWY53162,0.0%,Information Technology,Taiwan (Republic of China),
AP THAILAND NON-VOTING DR PCL,TH0308010R15,S66126707,0.0%,Real Estate,Thailand,
APA GROUP UNITS,AU000000APA1,S62473061,0.0%,Utilities,Australia,AAA
APEX INTERNATIONAL LTD,KYG0407M1033,SB5P0RR57,0.0%,Information Technology,Taiwan (Republic of China),
APTABIO THERAPEUTICS INC,KR7293780003,SBKC5SZ38,0.0%,Health Care,"Korea (South), Republic of",CCC
ARCADYAN TECHNOLOGY CORP,TW0003596003,SB28SKW16,0.0%,Information Technology,Taiwan (Republic of China),
ARDENTEC CORP,TW0003264008,S67433326,0.0%,Information Technology,Taiwan (Republic of China),
ASCENDAS REAL ESTATE INVESTMENT TR,SG1M77906915,S65638751,0.0%,Real Estate,Singapore,BBB
ASE TECHNOLOGY HOLDING LTD,TW0003711008,SBFXZDY13,0.0%,Information Technology,Taiwan (Republic of China),BBB
ASIA CEMENT CORP,TW0001102002,S60563319,0.0%,Materials,Taiwan (Republic of China),CCC
ASIA OPTICAL INC,TW0003019006,S62958665,0.0%,Information Technology,Taiwan (Republic of China),
ASIA POLYMER CORP,TW0001308005,S60572047,0.0%,Materials,Taiwan (Republic of China),
ASIA VITAL COMPONENTS LTD,TW0003017000,S65448920,0.0%,Information Technology,Taiwan (Republic of China),
ASIANA AIRLINES INC,KR7020560009,S62002027,0.0%,Industrials,"Korea (South), Republic of",CCC
ASM PACIFIC TECHNOLOGY LTD,KYG0535Q1331,S60024536,0.0%,Information Technology,Hong Kong,AA
ASMEDIA TECHNOLOGY INC,TW0005269005,SB6ZZQ693,0.0%,Information Technology,Taiwan (Republic of China),B
ASPEED TECHNOLOGY INC,TW0005274005,SB80VKP37,0.0%,Information Technology,Taiwan (Republic of China),
ASSET WORLD CORP PCL,TH9436010002,SBK21TV44,0.0%,Consumer Discretionary,Thailand,AA
ASSET WORLD CORP PCL NON-VOTING DR,TH9436010R15,SBK58JY56,0.0%,Consumer Discretionary,Thailand,AA
ASTRA AGRO LESTARI,ID1000066004,S60924982,0.0%,Consumer Staples,Indonesia,
ASTRA INTERNATIONAL,ID1000122807,SB800MQ51,0.0%,Consumer Discretionary,Indonesia,BB
ASTRO MALAYSIA HOLDINGS,MYL6399OO009,SB7W5GK31,0.0%,Communication Services,Malaysia,AA
ASUSTEK COMPUTER INC,TW0002357001,S60510468,0.0%,Information Technology,Taiwan (Republic of China),A
ASX LTD,AU000000ASX7,S61292223,0.0%,Financials,Australia,AAA
AU OPTRONICS CORP,TW0002409000,S62881909,0.0%,Information Technology,Taiwan (Republic of China),A
AUCKLAND INTERNATIONAL AIRPORT LTD,NZAIAE0002S6,SBKX3XG26,0.0%,Industrials,New Zealand,AA
AURAS TECHNOLOGY LTD,TW0003324000,SB015YP65,0.0%,Information Technology,Taiwan (Republic of China),
AURIZON HOLDINGS LTD,AU000000AZJ1,SB87CVM32,0.0%,Industrials,Australia,AA
AUSTRALIA AND NEW ZEALAND BANKING,AU000000ANZ3,S60655867,0.1%,Financials,Australia,AA
AVIA AVIAN PT,ID1000165004,SBPG92985,0.0%,Materials,Indonesia,
AXIATA GROUP,MYL6888OO001,SB2QZGV59,0.0%,Communication Services,Malaysia,AA
AXIS REITS UNITS TRUST,MYL5106TO008,SB0CMCL80,0.0%,Real Estate,Malaysia,B
AYALA CORP,PHY0486V1154,SB09JBT36,0.0%,Industrials,Philippines,BBB
AYALA CORP (DETACHED),,BRY2KRGM2,0.0%,,Philippines,
AYALA LAND INC,PHY0488F1004,S60551124,0.0%,Real Estate,Philippines,BB
B.GRIMM POWER PCL,TH7545010004,SBF0NJD91,0.0%,Utilities,Thailand,A
B.GRIMM POWER PCL NON-VOTING DR,TH7545010R15,SBDVJ6860,0.0%,Utilities,Thailand,A
BANGCHAK CORPORATION ORS NON-VOTIN,TH0420010R18,S63600324,0.0%,Energy,Thailand,AA
BANGKOK BANK NON-VOTING DR PCL,TH0001010R16,S63683601,0.0%,Financials,Thailand,BBB
BANGKOK BANK PCL F,TH0001010014,S60770195,0.1%,Financials,Thailand,BBB
BANGKOK CHAIN HOSPITAL NON-VOTING,TH0808010R14,SB03VTW40,0.0%,Health Care,Thailand,
BANGKOK COMMERCIAL ASSET MANAGEMEN,TH9479010R15,SBJYF9064,0.0%,Financials,Thailand,B
BANGKOK COMMERCIAL ASSET MANAGEMEN,TH9479010000,SBJYD4943,0.0%,Financials,Thailand,B
BANGKOK DUSIT MEDICAL SERVICES NON,TH0264010R10,SB013SV48,0.0%,Health Care,Thailand,AA
BANGKOK DUSIT MEDICAL SERVICES PCL,TH0264A10Z04,SBLZGSL62,0.0%,Health Care,Thailand,AA
BANGKOK EXPRESSWAY AND METRO PCL,TH6999010007,SBYV76L08,0.0%,Industrials,Thailand,B
BANGKOK EXPRESSWAY AND METRO PCL N,TH6999010R15,SBDCR9C47,0.0%,Industrials,Thailand,B
BANGKOK LAND NON-VOTING DR PCL,TH0285010R15,S67128934,0.0%,Real Estate,Thailand,B
BANK ALADIN SYARIAH,ID1000159205,SBL55ZZ69,0.0%,Financials,Indonesia,
BANK BTPN SYARIAH,ID1000142805,SBFNBJ411,0.0%,Financials,Indonesia,
BANK CENTRAL ASIA,ID1000109507,SB01C1P69,0.0%,Financials,Indonesia,A
BANK ISLAM MALAYSIA,MYL5258OO008,S61003794,0.0%,Financials,Malaysia,A
BANK JAGO INDONESIA,ID1000136708,SBYZ0ZJ62,0.0%,Financials,Indonesia,BB
BANK MANDIRI (PERSERO),ID1000095003,S66510488,0.1%,Financials,Indonesia,BBB
BANK NEGARA INDONESIA,ID1000096605,S67271213,0.0%,Financials,Indonesia,A
BANK OF EAST ASIA LTD,HK0023000190,S60756483,0.0%,Financials,Hong Kong,BBB
BANK OF KAOHSIUNG LTD,TW0002836004,S61164620,0.0%,Financials,Taiwan (Republic of China),
BANK OF QUEENSLAND LTD,AU000000BOQ8,S60762432,0.0%,Financials,Australia,BBB
BANK OF THE PHILIPPINE ISLANDS,PHY0967S1694,S60749686,0.0%,Financials,Philippines,BBB
BANK RAKYAT INDONESIA (PERSERO),ID1000118201,S67090993,0.1%,Financials,Indonesia,BBB
BANK TABUNGAN NEGARA (PERSERO),ID1000113707,SB5486739,0.0%,Financials,Indonesia,BBB
BARITO PACIFIC,ID1000085707,S60707064,0.0%,Materials,Indonesia,BBB
BDO UNIBANK INC,PHY077751022,SB5VJH766,0.0%,Financials,Philippines,BBB
BEACH ENERGY LTD,AU000000BPT9,S60882040,0.0%,Energy,Australia,A
BEIJING ENERGY INTERNATIONAL HOLDI,BMG1146K1018,SBMZ0TS93,0.0%,Utilities,Hong Kong,BB
BEIJING GAS BLUE SKY HOLDINGS LTD,BMG095871098,SBYZD5D94,0.0%,Utilities,Hong Kong,
BEIJING TONG REN TANG CHINESE MEDI,HK0000145638,SB7TWG071,0.0%,Health Care,Hong Kong,BB
BENDIGO AND ADELAIDE BANK LTD,AU000000BEN6,S60912805,0.0%,Financials,Australia,A
BERJAYA SPORTS TOTO,MYL1562OO007,S63315667,0.0%,Consumer Discretionary,Malaysia,A
BERKAH BETON SADAYA,ID1000159601,SBMZ59Y04,0.0%,Materials,Indonesia,
BERLI JUCKER NON-VOTING DR PCL,TH0002010R14,S63601629,0.0%,Consumer Staples,Thailand,BBB
BERLI JUCKER PCL,TH0002010Z06,S60940186,0.0%,Consumer Staples,Thailand,BBB
BERMAZ AUTO,MYL5248OO009,SBGLKMM66,0.0%,Consumer Discretionary,Malaysia,BBB
BES ENGINEERING,TW0002515004,S60846664,0.0%,Industrials,Taiwan (Republic of China),
BFI FINANCE INDONESIA,ID1000124001,SB80NSQ61,0.0%,Financials,Indonesia,
BGF RETAIL LTD,KR7282330000,SBD95QN14,0.0%,Consumer Staples,"Korea (South), Republic of",BBB
BGP HOLDINGS PLC,,BRT56W787,0.0%,Financials,Australia,
BH LTD,KR7090460007,SB1P1GJ53,0.0%,Information Technology,"Korea (South), Republic of",CCC
BHP GROUP LTD,AU000000BHP4,S61446902,0.2%,Materials,Australia,A
BINEX LTD,KR7053030003,S63833743,0.0%,Health Care,"Korea (South), Republic of",B
BIONEER,KR7064550007,SB0VTXZ15,0.0%,Health Care,"Korea (South), Republic of",CCC
BLOOMBERRY RESORTS CORP,PHY0927M1046,SB7RLFB02,0.0%,Consumer Discretionary,Philippines,B
BLUESCOPE STEEL LTD,AU000000BSL0,S65332322,0.1%,Materials,Australia,AA
BNK FINANCIAL GROUP INC,KR7138930003,BRSBRHYT9,0.0%,Financials,"Korea (South), Republic of",AA
BOC AVIATION LTD,SG9999015267,SBYZJV178,0.0%,Industrials,Singapore,BB
BOE VARITRONIX LTD,BMG1223L1054,SBDFBQH77,0.0%,Information Technology,Hong Kong,B
BORAL LTD,AU000000BLD2,S62186705,0.0%,Materials,Australia,AA
BRAMBLES LTD,AU000000BXB1,SB1FJ0C09,0.0%,Industrials,Australia,AAA
BRIGHTON-BEST INTERNATION (TAIWAN),TW0008415001,SB3Y7B933,0.0%,Industrials,Taiwan (Republic of China),
BTS GROUP HOLDINGS NON-VOTING DR P,TH0221010R10,SB0H72C96,0.0%,Industrials,Thailand,AA
BTS GROUP HOLDINGS PCL,TH0221B10Z05,SBDDW2W91,0.0%,Industrials,Thailand,AA
BUKALAPAK.COM,ID1000162001,SBMV87R28,0.0%,Consumer Discretionary,Indonesia,
BUKWANG PHARMACEUTICAL IND LTD,KR7003000007,S61232682,0.0%,Health Care,"Korea (South), Republic of",BB
BUMI RESOURCES MINERALS,ID1000117609,SB3R58937,0.0%,Materials,Indonesia,
BUMI SERPONG DAMAI,ID1000110802,SB2RJPM06,0.0%,Real Estate,Indonesia,BB
BUMRUNGRAD HOSPITAL NON-VOTING DR,TH0168010R13,SB0166J70,0.0%,Health Care,Thailand,A
BUMRUNGRAD HOSPITAL PCL,TH0168A10Z01,SB0166D19,0.0%,Health Care,Thailand,A
BURSA MALAYSIA,MYL1818OO003,SB06FV389,0.0%,Financials,Malaysia,AA
C D INTERNATIONAL INVESTMENT GROUP,KYG3165D1097,SBZBY9R58,0.0%,Real Estate,Hong Kong,B
CAFE DE CORAL HOLDINGS LTD,BMG1744V1037,S61609533,0.0%,Consumer Discretionary,Hong Kong,A
CAFE24 CORP,KR7042000000,SBF062T58,0.0%,Information Technology,"Korea (South), Republic of",CCC
CANVEST ENVIRONMENTAL PROTECTION G,KYG183221004,SBTLWVY82,0.0%,Utilities,Hong Kong,BBB
CAPITAL SECURITIES CORP,TW0006005002,S61566733,0.0%,Financials,Taiwan (Republic of China),BBB
CAPITALAND INTEGRATED COMMERCIAL T,SG1M51904654,S64201296,0.0%,Real Estate,Singapore,A
CAPITALAND INVESTMENT LTD,SGXE62145532,SBNHXFJ62,0.0%,Real Estate,Singapore,AAA
CARABAO GROUP PCL,TH6066010005,SBSM67X35,0.0%,Consumer Staples,Thailand,B
CARABAO GROUP PCL SHS NON-VOTING D,TH6066010R13,SBSM67Z58,0.0%,Consumer Staples,Thailand,B
CAREER TECHNOLOGY (MFG) LTD,TW0006153000,S64319494,0.0%,Information Technology,Taiwan (Republic of China),
CARLSBERG BREWERY MALAYSIA,MYL2836OO004,SB09FGC94,0.0%,Consumer Staples,Malaysia,AA
CARSALES.COM LTD,AU000000CAR3,SBW0BGZ30,0.0%,Communication Services,Australia,AA
CATCHER TECHNOLOGY LTD,TW0002474004,S61866695,0.0%,Information Technology,Taiwan (Republic of China),BB
CATHAY FINANCIAL HOLDING LTD,TW0002882008,S64256639,0.0%,Financials,Taiwan (Republic of China),AA
CELLID LTD,KR7299660001,SBJKGLV88,0.0%,Health Care,"Korea (South), Republic of",B
CELLIVERY THERAPEUTICS INC,KR7268600004,SBGXD7G27,0.0%,Health Care,"Korea (South), Republic of",CCC
CELLTRION HEALTHCARE LTD,KR7091990002,SBYZ6DH83,0.0%,Health Care,"Korea (South), Republic of",BBB
CELLTRION INC,KR7068270008,SB0C5YV15,0.0%,Health Care,"Korea (South), Republic of",B
CELLTRION PHARM INC,KR7068760008,SB0V3YP04,0.0%,Health Care,"Korea (South), Republic of",B
CENTER LABORATORIES INC,TW0004123005,S66908369,0.0%,Health Care,Taiwan (Republic of China),
CENTRAL PATTANA NON-VOTING DR PCL,TH0481010R10,SB013L153,0.0%,Real Estate,Thailand,BBB
CENTRAL PATTANA PCL,TH0481B10Z00,SB6SR7L44,0.0%,Real Estate,Thailand,BBB
CENTRAL RETAIL CORPORATION PCL,TH9597010007,SBKP8ZP80,0.0%,Consumer Discretionary,Thailand,BB
CENTRAL RETAIL CORPORATION PCL NON,TH9597010R14,SBKV24W43,0.0%,Consumer Discretionary,Thailand,BB
CENTURY IRON AND STEEL INDUSTRIAL,TW0009958009,SB1LJ5C96,0.0%,Materials,Taiwan (Republic of China),
CENTURY PACIFIC FOOD INC,PHY1249R1024,SBLRL8533,0.0%,Consumer Staples,Philippines,
CGN NEW ENERGY HOLDINGS LTD,BMG202981087,SBQWJ9K98,0.0%,Utilities,Hong Kong,BB
CH KARNCHANG NON-VOTING DR PCL,TH0530010R14,S67136812,0.0%,Industrials,Thailand,B
CHABIOTECH LTD,KR7085660009,SB0TLGZ07,0.0%,Health Care,"Korea (South), Republic of",B
CHAILEASE HOLDING LTD,KYG202881093,SB58J1S85,0.0%,Financials,Taiwan (Republic of China),A
CHALLENGER LTD,AU000000CGF5,S67263004,0.0%,Financials,Australia,A
CHAMPION REAL ESTATE INVESTMENT TR,HK2778034606,SB14WZ476,0.0%,Real Estate,Hong Kong,BB
CHANG HWA COMMERCIAL BANK LTD,TW0002801008,S61878559,0.0%,Financials,Taiwan (Republic of China),BBB
CHANG WAH ELECTROMATERIALS INC,TW0008070004,S66986365,0.0%,Information Technology,Taiwan (Republic of China),
CHAROEN POKPHAND FOODS NON-VOTING,TH0101010R14,S64108749,0.0%,Consumer Staples,Thailand,BBB
CHAROEN POKPHAND FOODS PCL,TH0101A10Z01,SB4V9B001,0.0%,Consumer Staples,Thailand,BBB
CHAROEN POKPHAND INDONESIA,ID1000117708,S63153449,0.0%,Consumer Staples,Indonesia,B
CHARTER HALL GROUP STAPLED UNITS,AU000000CHC0,SB15F6S62,0.0%,Real Estate,Australia,AAA
CHEIL WORLDWIDE INC,KR7030000004,S60932316,0.0%,Communication Services,"Korea (South), Republic of",B
CHENG LOONG CORP,TW0001904001,S61902391,0.0%,Materials,Taiwan (Republic of China),
CHENG SHIN RUBBER INDUSTRY LTD,TW0002105004,S61902284,0.0%,Consumer Discretionary,Taiwan (Republic of China),BB
CHEUNG KONG INFRASTRUCTURE HOLDING,BMG2178K1009,SBYVS6J16,0.1%,Utilities,Hong Kong,BB
CHIA HSIN CEMENT CORP,TW0001103000,S61906269,0.0%,Materials,Taiwan (Republic of China),
CHICONY ELECTRONICS LTD,TW0002385002,S61405791,0.0%,Information Technology,Taiwan (Republic of China),BB
CHIN-POON INDUSTRIAL LTD,TW0002355005,S61867990,0.0%,Information Technology,Taiwan (Republic of China),
CHINA AIRCRAFT LEASING GROUP HOLDI,KYG211241057,SBNY7YW76,0.0%,Industrials,Hong Kong,CCC
CHINA AIRLINES LTD,TW0002610003,S61896577,0.0%,Industrials,Taiwan (Republic of China),A
CHINA DEVELOPMENT FINANCIAL HOLDIN,TW0002883006,S64317563,0.0%,Financials,Taiwan (Republic of China),BBB
CHINA EVERBRIGHT LTD,HK0165000859,S64551435,0.0%,Financials,Hong Kong,BB
CHINA HIGH SPEED TRANSMISSION EQUI,KYG2112D1051,SB1YC2B36,0.0%,Industrials,Hong Kong,BBB
CHINA MAN MADE FIBER CORP,TW0001718005,S61910055,0.0%,Materials,Taiwan (Republic of China),
CHINA METAL PRODUCTS LTD,TW0001532000,S60388345,0.0%,Materials,Taiwan (Republic of China),
CHINA MOTOR CORP,TW0002204005,S61913281,0.0%,Consumer Discretionary,Taiwan (Republic of China),BBB
CHINA OVERSEAS GRAND OCEANS GROUP,HK0000065737,S68032473,0.0%,Real Estate,Hong Kong,BBB
CHINA OVERSEAS PROPERTY HOLDINGS L,KYG2118M1096,SBYYMZN74,0.0%,Real Estate,Hong Kong,BB
CHINA PETROCHEMICAL DEVELOPMENT CO,TW0001314003,S62060843,0.0%,Materials,Taiwan (Republic of China),
CHINA POWER INTERNATIONAL DEVELOPM,HK2380027329,SB02ZKQ85,0.0%,Utilities,Hong Kong,BB
CHINA STEEL CHEMICAL CORP,TW0001723005,S61363180,0.0%,Materials,Taiwan (Republic of China),
CHINA STEEL CORP,TW0002002003,S61909503,0.0%,Materials,Taiwan (Republic of China),BBB
CHINA TAIPING INSURANCE HLDGS LTD,HK0000055878,S62640487,0.0%,Financials,Hong Kong,B
CHINA WATER AFFAIRS GROUP LTD,BMG210901242,S66714775,0.0%,Utilities,Hong Kong,BBB
CHINA YOUZAN LTD,BMG2164J1099,SBMVHXD75,0.0%,Information Technology,Hong Kong,BBB
CHIPBOND TECHNOLOGY CORP,TW0006147002,S64328016,0.0%,Information Technology,Taiwan (Republic of China),
CHIPMOS TECHNOLOGIES INC,TW0008150004,SB0BSM061,0.0%,Information Technology,Taiwan (Republic of China),
CHONG HONG CONSTRUCTION LTD,TW0005534002,S65117889,0.0%,Real Estate,Taiwan (Republic of China),
CHONG KUN DANG PHARMACEUTICAL CORP,KR7185750007,SBFZD2P73,0.0%,Health Care,"Korea (South), Republic of",B
CHROMA ATE INC,TW0002360005,S62121009,0.0%,Information Technology,Taiwan (Republic of China),
CHUN YUAN STEEL INDUSTRY LTD,TW0002010006,S61962155,0.0%,Materials,Taiwan (Republic of China),
CHUNBO LTD,KR7278280003,SBJ9ZMW48,0.0%,Materials,"Korea (South), Republic of",CCC
CHUNG HUNG STEEL CORP,TW0002014008,S69876027,0.0%,Materials,Taiwan (Republic of China),
CHUNG-HSIN ELECTRIC & MACHINERY MF,TW0001513000,S61948113,0.0%,Industrials,Taiwan (Republic of China),
CHUNGHWA PRECISION TEST TECH  LTD,TW0006510001,SBSP1ZW08,0.0%,Information Technology,Taiwan (Republic of China),
CHUNGHWA TELECOM LTD,TW0002412004,S62878418,0.0%,Communication Services,Taiwan (Republic of China),A
CIMB GROUP HOLDINGS,MYL1023OO000,S60757457,0.1%,Financials,Malaysia,A
CIPUTRA DEVELOPMENT,ID1000115306,S62917679,0.0%,Real Estate,Indonesia,BB
CISARUA MOUNTAIN DAIRY,ID1000164700,SBMZQ6M00,0.0%,Consumer Staples,Indonesia,
CJ CGV LTD,KR7079160008,SB04S9462,0.0%,Communication Services,"Korea (South), Republic of",BB
CJ CHEILJEDANG CORP,KR7097950000,SB2492F56,0.0%,Consumer Staples,"Korea (South), Republic of",A
CJ CORP,KR7001040005,S61895165,0.0%,Industrials,"Korea (South), Republic of",BBB
CJ ENM LTD,KR7035760008,S61997532,0.0%,Communication Services,"Korea (South), Republic of",BB
CJ LOGISTICS CORP,KR7000120006,S64971120,0.0%,Industrials,"Korea (South), Republic of",BBB
CK ASSET HOLDINGS LTD,KYG2177B1014,SBYZQ0772,0.0%,Real Estate,Hong Kong,BBB
CK POWER NON-VOTING DR PCL,TH4536010R17,SBCDB4L28,0.0%,Utilities,Thailand,
CLEANAWAY LTD,TW0008422007,SB4VYX104,0.0%,Industrials,Taiwan (Republic of China),
CLEANAWAY WASTE MANAGEMENT LTD,AU000000CWY3,SBYQ8KW70,0.0%,Industrials,Australia,BBB
CLEVO,TW0002362001,S62037403,0.0%,Information Technology,Taiwan (Republic of China),
CMG PHARMACEUTICAL LTD,KR7058820002,S64227945,0.0%,Health Care,"Korea (South), Republic of",B
CO-TECH DEVELOPMENT CORP,TW0008358003,SB28Y6Q58,0.0%,Information Technology,Taiwan (Republic of China),
COCHLEAR LTD,AU000000COH5,S62117981,0.0%,Health Care,Australia,AAA
COLES GROUP LTD,AU0000030678,SBYWR0T58,0.0%,Consumer Staples,Australia,AA
COM2US,KR7078340007,SB232R270,0.0%,Communication Services,"Korea (South), Republic of",B
COM7 PCL NON-VOTING DR,TH6678010R15,SBZ2YN502,0.0%,Consumer Discretionary,Thailand,
COMMONWEALTH BANK OF AUSTRALIA,AU000000CBA7,S62150354,0.0%,Financials,Australia,AA
COMPAL ELECTRONICS INC,TW0002324001,S62257449,0.0%,Information Technology,Taiwan (Republic of China),BBB
COMPEQ MANUFACTURING LTD,TW0002313004,S62152731,0.0%,Information Technology,Taiwan (Republic of China),
COMPUTERSHARE,AU000000CPU5,S61804126,0.0%,Information Technology,Australia,AAA
CONCORD NEW ENERGY GROUP LTD,BMG2345T1099,SBVXTWR18,0.0%,Utilities,Hong Kong,A
CONTACT ENERGY LTD,NZCENE0001S6,S61525291,0.0%,Utilities,New Zealand,AA
CONTINENTAL HOLDINGS CORP,TW0003703005,SB58DQK76,0.0%,Industrials,Taiwan (Republic of China),
CONVERGE INFORMATION & COMMU,PHY1757W1054,SBMH55173,0.0%,Communication Services,Philippines,BBB
CORETRONIC CORP,TW0005371009,S61418067,0.0%,Information Technology,Taiwan (Republic of China),
COSMAX INC,KR7192820009,SBKF28069,0.0%,Consumer Staples,"Korea (South), Republic of",CCC
COSMOAM&T LTD,KR7005070008,S67667154,0.0%,Information Technology,"Korea (South), Republic of",B
COUPANG INC CLASS A,US22266T1097,22266T109,0.0%,Consumer Discretionary,"Korea (South), Republic of",
COWAY LTD,KR7021240007,S61734018,0.0%,Consumer Discretionary,"Korea (South), Republic of",AA
CP ALL NON-VOTING DR PCL,TH0737010R15,SB08YDH14,0.0%,Consumer Staples,Thailand,BBB
CP ALL PCL,TH0737010Y08,SB08YDG07,0.0%,Consumer Staples,Thailand,BBB
CREATIVE & INNOVATIVE SYSTEM CORP,KR7222080004,SBYZYM866,0.0%,Industrials,"Korea (South), Republic of",CCC
CRYSTAL INTERNATIONAL GROUP LTD,KYG2701R1011,SBF09MJ45,0.0%,Consumer Discretionary,Hong Kong,BB
CS WIND CORP,KR7112610001,SBSPBZK83,0.0%,Industrials,"Korea (South), Republic of",B
CSBC CORP,TW0002208006,SB3KMM999,0.0%,Industrials,Taiwan (Republic of China),
CSL LTD,AU000000CSL8,S61854956,0.0%,Health Care,Australia,A
